# rounds;# its;best ilp;#unique cols;mipgap;ilp runtime;total runtime
100;1000;5748.0083665053735;702;0;229.30349683761597;230.2129688
100;1000;5860.55392500667;641;0.023289209253693724;300.07678413391113;300.4802004
100;1000;6085.0218620005735;635;0.015283136461436381;300.17030096054077;300.5823505
100;1000;5923.9466879074835;675;0.023133317935720783;300.03210401535034;300.4522468
100;1000;5886.239059882269;695;0;249.17413806915283;249.5990952
100;10000;5090.578580759403;521;0.056798797621176435;300.0198519229889;301.032275
100;10000;5051.777244131346;554;0.076208296108574;300.0285258293152;301.0467488
100;10000;5143.531668326279;580;0.08182722842148095;300.0224230289459;301.0705299
100;10000;5082.034049648424;533;0.06357216445983253;300.0197720527649;301.0375609
100;10000;5006.479382459466;551;0.07057047135865782;300.0217020511627;301.0816282
100;50000;4857.8154210082685;592;0.11550924447036523;300.05782198905945;303.6381384
100;50000;4785.676296772052;566;0.10463705228456958;300.0245599746704;303.6188248
100;50000;4873.982556313303;579;0.1336032187587245;300.02346181869507;303.6212135
100;50000;4876.339746135924;552;0.11881335788298124;300.0187749862671;303.5350932
100;50000;4871.590984693682;573;0.127130839216497;300.01958203315735;303.663207
100;100000;4771.432360568166;593;0.12787158513116886;300.02044010162354;306.8476782
100;100000;4665.351885012616;580;0.09758016892581983;300.01719188690186;306.9218745
100;100000;4823.730013225394;587;0.13114619758853557;300.01585483551025;307.1245447
100;100000;4754.273626113218;580;0.1129099988370839;300.01549100875854;306.8392048
100;100000;4702.017720251049;614;0.10898949541130662;300.02149415016174;307.2874798
100;500000;4875.859513546237;585;0.14406592013972971;300.03220295906067;331.7530617
100;500000;4716.440742752634;631;0.160536074403605;300.01382207870483;331.5428334
100;500000;4518.625707713955;619;0.09337950638967601;300.02057909965515;332.5809766
100;500000;4556.953763605184;627;0.09804782414436863;300.02869606018066;332.2574439
100;500000;4569.22195616131;637;0.10843958280964461;300.0254089832306;332.6290381
200;1000;5307.002871596941;1334;0.0856704447203105;300.0274019241333;300.983894
200;1000;5390.603903884883;1250;0.07006947507726063;300.03397607803345;300.9955397
200;1000;5305.894636055514;1260;0.06951870816102663;300.031662940979;300.9750661
200;1000;5449.036152823133;1205;0.055936410038567114;300.03762698173523;301.0278428
200;1000;5096.9221910019905;1256;0.05203084212666336;300.0299029350281;300.9860903
