# rounds;# its;best ilp;#unique cols;mipgap;ilp runtime;total runtime
500;100000;4187.777179136204;3346;0.16576200201327923;300.01360416412354;338.9951539
500;100000;4266.278330700288;3296;0.17979998092422622;300.0209929943085;341.5046257
500;100000;4177.197122163932;3212;0.1610888955040484;300.0136752128601;339.3694482
500;100000;4134.147724989934;3350;0.15604913140220236;300.02276396751404;339.8204378
500;500000;4112.081522100846;3361;0.15765177349132498;300.00952410697937;484.4147508
500;500000;4098.14702992146;3339;0.15710072039456627;300.010782957077;482.680017
500;500000;4101.244529755835;3404;0.15519406447905498;300.0165309906006;476.5669963
500;500000;4091.790923626005;3364;0.15432110816144465;300.0219900608063;482.4356153
500;500000;4135.5897146836505;3403;0.16773498349805283;300.0167558193207;485.1573815
1000;1000;4754.248086064222;5435;0.17712342235620937;300.0094521045685;305.711556
1000;1000;4906.708092481752;5524;0.19831101582335048;300.0139400959015;305.5858655
1000;1000;4918.991334554985;5554;0.19925101145376103;300.01396107673645;305.5711549
1000;1000;4871.423661820405;5525;0.18098737401987075;300.01318287849426;305.6314418
1000;1000;4822.400215711432;5399;0.16640676672704727;300.01270508766174;305.5812608
1000;10000;4429.71307217963;5739;0.19417746210993386;300.01289415359497;313.6241623
1000;10000;4268.580777762841;5898;0.16462299046547443;300.0132281780243;313.2405693
1000;10000;4372.722429037025;5763;0.18721288018984047;300.0486099720001;313.5578716
1000;10000;4366.4886759317515;5985;0.18842944923559665;300.01386189460754;313.9955801
1000;10000;4373.62934457701;5833;0.18643787537556727;300.01421904563904;313.1209882
1000;50000;4120.461696254193;6724;0.1610803585946415;300.0223639011383;345.7855011
1000;50000;4157.384775399699;6610;0.17016971627780797;300.01826095581055;345.5590941
1000;50000;4166.355044331527;6749;0.16914588062239716;300.01375102996826;345.5780369
1000;50000;4166.25602180241;6648;0.17226919443761288;300.0150611400604;345.569097
1000;50000;4118.748718177243;6524;0.16184860575141388;300.0115020275116;345.4383658
1000;100000;4083.3841913649526;6785;0.16204334263505513;300.01340794563293;383.6496854
1000;100000;4072.5859477247877;6874;0.15959636135485786;300.01682209968567;385.2174182
1000;100000;4129.848099004407;6768;0.17051971584722017;300.01538014411926;385.9087551
1000;100000;4056.9995341318463;6737;0.1551495740659172;300.02223777770996;384.7117361
1000;100000;4062.4007858315963;6765;0.15911446873903912;300.0597951412201;386.4842076
1000;500000;3915.8099234904585;6934;0.13165948445039338;300.01678490638733;686.8555127
1000;500000;4065.6053260258077;6676;0.16580087485615286;300.0164668560028;690.362211
1000;500000;4017.16575971581;6747;0.1562517957394421;300.01479411125183;701.9279565
1000;500000;3866.3232124125616;6799;0.11990214049005121;300.0134298801422;691.3567217
1000;500000;3860.1123078178316;6728;0.12286310469315768;300.01608514785767;694.9554541
2000;1000;4766.414016216047;10239;0.20355118451910026;300.0185270309448;315.0231291
2000;1000;4713.358552434209;10235;0.19638482921858613;300.0189199447632;312.8046886
2000;1000;4613.880704082684;10521;0.17841106329520673;300.01641607284546;312.7781175
2000;1000;4575.602109947147;10376;0.16872688187578103;300.00998306274414;312.7542822
2000;1000;4663.544309182981;10175;0.19003035904926985;300.02585220336914;312.7942575
2000;10000;4158.5344001356125;11973;0.1621030146597567;300.0173318386078;328.443294
2000;10000;4157.213495420582;11938;0.16146315542481005;300.0208201408386;335.6229717
2000;10000;4332.498462523355;12203;0.1911851633979033;300.0317988395691;328.526395
2000;10000;4101.260551618964;11824;0.14360598702729482;300.01649284362793;328.9724932
2000;10000;4196.1756016415175;12121;0.16830068648434013;300.0176570415497;328.8717151
2000;50000;4043.907232255716;13531;0.15789495490513383;300.02271008491516;401.5660125
2000;50000;4076.106120750825;13728;0.1672893418651539;300.0210211277008;399.0831113
2000;50000;4048.184089462495;13764;0.16016284176372464;300.0237400531769;395.6831577
2000;50000;4094.3756145493157;13362;0.16555696359869332;300.017205953598;395.95373
2000;50000;4080.6013044953347;13806;0.1688177978662514;300.02041387557983;397.7918605
2000;100000;3891.0164835639625;13913;0.13113245287214495;300.020437002182;478.3089717
2000;100000;3864.4286815128307;14065;0.12410349924497181;300.0387089252472;484.4288349
2000;100000;4077.6565611672722;13914;0.1724008606035283;300.0279140472412;483.6329117
2000;100000;3859.716036596653;13849;0.12611429669945404;300.02820897102356;483.4694969
2000;100000;3875.3108069254085;13735;0.12544314874345208;300.03051495552063;478.0372924
2000;500000;3798.0760929692583;13762;0.11918122840250699;300.0341799259186;1111.5958247
2000;500000;3856.390249828493;13908;0.1315891340914569;300.0194091796875;1123.6325621
2000;500000;3841.359705688034;13634;0.12859508933235722;300.05701899528503;1111.5186713
2000;500000;3857.3783401461665;13626;0.12973719662402383;300.02403497695923;1095.6644464
2000;500000;3848.995407340458;13625;0.12989581766819122;300.0388889312744;1096.3436025
5000;1000;4668.51445750164;24644;0.2089729144824164;300.02132201194763;346.1517126
5000;1000;4503.837907192767;24704;0.18708468681727825;300.02752900123596;345.9919744
5000;1000;4633.8683261492015;24854;0.2096810129560103;300.0306189060211;352.142956
5000;1000;4456.794940597116;24605;0.17812330579099203;300.03061389923096;345.2507404
5000;1000;4521.7656479057005;24556;0.18699552897192356;300.01985812187195;344.8319451
5000;10000;4043.6620715272384;29724;0.15039184692304292;300.03160190582275;391.3620806
5000;10000;4181.593921492758;29817;0.17539124014455462;300.0250241756439;390.2665661
5000;10000;4097.235411119329;29928;0.16154597034672252;300.18779397010803;391.9224364
5000;10000;4057.987299254027;29719;0.15152090386374648;300.0487639904022;391.1400617
5000;10000;4131.682534928854;30305;0.16719247845598947;300.03889417648315;391.8799865
5000;50000;3932.4835793299585;34508;0.1477328797555779;300.06400203704834;566.191841
5000;50000;3846.2030459696816;34423;0.12988328878621913;300.0367729663849;572.7319507
5000;50000;4004.9497125392636;36479;0.16138514277062993;300.0620810985565;573.6595632
5000;50000;3838.816474158626;34567;0.12434998377694774;300.043310880661;569.9608341
5000;50000;4018.8417145486346;34451;0.1644754081217703;300.03860902786255;565.9212509
5000;100000;3817.9901192922885;34908;0.12422424131243266;300.05416893959045;777.9611794
5000;100000;3844.454264216278;34440;0.13302608710057587;300.0524380207062;771.8148522
5000;100000;3813.198115231421;35053;0.12567364654434385;300.041384935379;773.510897
5000;100000;3907.430065771517;35139;0.14738359736714549;300.0539071559906;774.4971645
5000;100000;3808.953998250662;34552;0.12245574118593129;300.0507550239563;779.4110302
5000;500000;3734.089681018136;33757;0.11374485825580444;300.04763102531433;2297.1702038
5000;500000;3846.8470488181047;34131;0.13872355409648726;300.06281208992004;2340.6304712
