max vh cols;max cr colsint vsp value;int csp value;int vsp cols;int csp cols;int vsp selected cols;int csp selected cols;mipgap;mip runtime;total runtime
10000;2500;3598.056365659699;11979.416666666666;10000;4263;11;21;7.500485672099502E-11;152.73092699050903;330.4022085
10000;2500;3794.301443004838;11668.166666666668;10000;4262;12;20;0;159.04111289978027;391.0661299
10000;2500;3590.592084460205;12029.25;10000;4263;11;21;5.555893020628667E-11;154.71005010604858;361.9323108
10000;2500;4000.391193252287;11612.333333333336;10000;4260;13;20;0;14.247180938720703;210.295358
10000;2500;3387.33706747489;12192.833333333334;10000;4258;10;21;6.697474920454777E-10;152.20161294937134;357.9799818
10000;5000;3388.684891194449;12281.083333333332;10000;6763;10;21;7.443201488535793E-05;152.3664619922638;358.8989353
10000;5000;3609.2451761339694;11806.083333333334;10000;6755;11;21;6.000378163953865E-11;156.560781955719;448.7778667
10000;5000;3386.353620650424;12464.499999999998;10000;6755;10;22;2.8705324013027748E-11;159.83877396583557;391.4734426
10000;5000;3592.1152903719235;12213.916666666668;10000;6756;11;21;0;159.58014798164368;366.5495463
10000;5000;3615.3264977790545;12126.66666666667;10000;6763;11;21;0;152.1505000591278;385.6774785
10000;10000;3590.592084460205;12119.166666666668;10000;7274;11;21;6.836055884913495E-11;152.7785928249359;359.6244316
10000;10000;3592.9133699324734;12043.333333333334;10000;7686;11;21;8.889444170264086E-11;165.66205191612244;381.6774021
10000;10000;3387.33706747489;12382.416666666668;10000;11758;10;21;8.57198147449125E-11;309.4853150844574;625.4383832
10000;10000;3614.725820585741;12089.916666666668;10000;10467;11;21;6.667081390533724E-11;192.06199312210083;511.0030998
10000;10000;3387.33706747489;12179.833333333334;10000;9540;10;21;0;159.5581259727478;428.8236122
10000;25000;3386.353620650424;12673.583333333334;10000;8085;10;22;0;157.87171006202698;357.6908324
10000;25000;3614.804946128179;11743.750000000002;10000;9608;11;21;0;157.4913671016693;466.3698899
10000;25000;3386.353620650424;12636.75;10000;8638;10;22;4.388546291664433E-11;160.8860809803009;371.7725434
10000;25000;3791.7314600356526;11677.333333333334;10000;9574;12;20;0;166.37521195411682;458.0962087
10000;25000;3794.301443004838;11635.666666666668;10000;12218;12;20;0;177.62279605865479;494.406068
25000;500;3801.4054788674343;12168.416666666668;25000;2261;12;21;6.250389605680269E-11;243.10860300064087;524.3048335
25000;500;3796.827335321824;12003.25;25000;2252;12;21;0;154.8335371017456;419.405429
25000;500;4033.3404823711408;12169.833333333334;25000;2255;13;22;0;168.70417404174805;437.4481649
25000;500;3593.497073246323;12162.499999999998;25000;2264;11;21;2.4237151791046738E-11;153.46443700790405;453.3625143
25000;500;3592.513626421857;12280.000000000002;25000;2262;11;21;8.889450976491462E-11;152.48617911338806;401.7543721
25000;2500;3592.513626421857;12221.5;25000;4257;11;21;7.50050137587902E-11;154.60152411460876;446.0877113
25000;2500;3386.353620650424;12359.083333333338;25000;4262;10;21;0;157.14554619789124;453.2531788
25000;2500;3593.1830199647166;12362.333333333334;25000;4256;11;21;0;158.9857349395752;448.9478118
25000;2500;3588.157385897977;12181.91666666667;25000;4258;11;21;0;158.30528783798218;473.9332688
25000;2500;3604.5455517100586;12547.916666666664;25000;4257;11;22;4.964814409093586E-11;153.76443815231323;453.3722273
25000;5000;3386.353620650424;12504.583333333334;25000;6755;10;22;5.5153919610206654E-05;159.32736897468567;464.396008
25000;5000;3799.2340777881436;11382.166666666664;25000;6756;12;20;0;54.825825929641724;398.1522016
25000;5000;3593.0029365216724;12373.166666666668;25000;6752;11;21;0;156.31391096115112;480.4075875
25000;5000;3803.311937377118;12049.583333333336;25000;6756;12;22;0;156.61018991470337;475.38778
25000;5000;3592.513626421857;12211.75;25000;6760;11;21;0;166.0569109916687;526.8924687
25000;10000;3592.513626421857;12229.083333333334;25000;6664;11;21;0;158.04381608963013;437.8340422
25000;10000;3809.7777472380644;12031.91666666667;25000;6525;12;21;0;169.35976719856262;480.2650107
25000;10000;3587.348152114978;12250.000000000002;25000;7922;11;22;6.667081282583806E-11;167.74589920043945;489.5740313
25000;10000;3598.056365659699;12011.916666666666;25000;10142;11;21;6.667104473166E-11;250.11411905288696;611.6169355
25000;10000;3602.3939286900622;12304.416666666664;25000;8794;11;21;3.5605026622294746E-11;159.57969689369202;459.9922053
25000;25000;3588.331598939443;12090.250000000002;25000;8189;11;22;1.9790146687587914E-11;155.09370183944702;470.0248276
25000;25000;3605.9320477531437;12106.166666666666;25000;7686;11;21;9.535836721884331E-05;157.5727219581604;462.2331226
25000;25000;3791.2429463891863;12183.583333333336;25000;8810;12;21;0;161.70416378974915;457.3759203
25000;25000;3601.6630957462357;12165.166666666666;25000;9192;11;21;0;157.684583902359;494.929113
25000;25000;3632.710105332919;12025.416666666668;25000;7976;11;21;6.000374681011686E-11;161.48101496696472;475.5377274
