instance;sec n;sec m;ls rounds;ls maxIts;seq vsp cols;seq csp cols;seq vsp selected cols;seq csp selected cols;seq csp selected single;seq vsp value;seq csp value;seq vsp pullout;seq vsp tripdriving;seq vsp tripkwh;seq vsp dhdriving;seq vsp dhkwh;seq vsp idlekwh;seq vsp batterydeg;seq csp blockhours;seq csp blockdrivinghours;seq csp breakhours;seq vsp mip runtime;seq vsp mip gap;seq vsp runtime;seq csp mip runtime;seq csp mip gap;seq csp runtime
../../data/leiden-1-2;4;8;0;500000;11758;779;10;24;0;3425.683764;12919.16667;2000;101.5127;929.0442304;9.5121;87.0547392;15.46666667;283.0933279;126.75;111.9;29.21666667;300.098;0.026730463;301.5425455;75.17400002;0;77.9915887
../../data/leiden-1-2;4;8;5;500000;7626;731;10;21;0;3378.061465;12144.66667;2000;98.16635;898.4184352;9.1304;83.5614208;16.32;272.4648595;122.4333333;107.9333333;26.98333333;122.6960001;8.34E-11;128.6918199;75.25899982;0;77.5190274
../../data/leiden-1-2;4;8;50;500000;9272;913;10;22;0;3372.471536;11975.41667;2000;98.16635;898.4184352;10.1645;93.025504;10.72;261.9767472;116.8666667;103.85;28.18333333;300.0300002;0.008730389;350.8162742;0.355999947;0;2.7928745
../../data/leiden-1-2;8;4;0;500000;12028;1225;10;21;0;3416.637042;11934.41667;2000;100.17455;916.7974816;10.78815;98.7331488;13.06666667;277.0770445;121.9833333;107.4666667;22.71666667;300.052;0.02466032;301.5172297;0.210000038;0;3.0600344
../../data/leiden-1-2;8;4;5;500000;7281;901;10;22;0;3367.167594;12259.83333;2000;98.16635;898.4184352;8.32555;76.1954336;13.92;272.141825;124.0333333;110.5666667;25.61666667;124.0639999;0;129.6375139;75.31599998;0;77.2741656
../../data/leiden-1-2;8;4;50;500000;9068;1027;10;22;0;3365.4298;11444.08333;2000;98.16635;898.4184352;9.22245;84.4038624;11.52;263.698702;116.2333333;103.8166667;22.13333333;158.3789999;0;208.5536784;0.210000038;0;2.9306329
../../data/leiden-1-2;8;8;0;500000;14070;1130;10;20;0;3408.751718;11987.16667;2000;100.17455;916.7974816;10.45245;95.6608224;13.22666667;272.4397469;120;106.1333333;27.26666667;300.053;0.033401063;301.7897295;0.697000027;0;6.2927004
../../data/leiden-1-2;8;8;5;500000;8305;1302;10;21;0;3405.365719;11804.41667;2000;98.16635;898.4184352;12;109.824;13.12;273.8369337;119.2166667;103.9666667;24.65;149.697;0;155.934237;75.171;0;79.6358665
../../data/leiden-1-2;8;8;50;500000;13362;928;10;30;1;3362.339996;24263.41667;2000;98.16635;898.4184352;8.2554;75.5534208;15.52;266.42639;136.1833333;119.0666667;29.8;300.0219998;0.017516245;351.404972;96.44700003;0;99.345542
../../data/leiden-1-2;16;4;0;500000;12545;1480;10;20;0;3390.348311;11777;2000;99.5045;910.665184;9.1304;83.5614208;15.52;271.966806;121.7666667;107.95;22.21666667;300.0339999;0.032020074;301.5646541;75.18600011;0;78.8191802
../../data/leiden-1-2;16;4;5;500000;8161;1357;10;27;1;3381.772477;23655.75;2000;99.045;906.45984;8.769;80.253888;15.52;271.7247491;132.05;116.0833333;29.05;300.03;0.022233774;306.0390067;75.39899993;0;79.0080675
../../data/leiden-1-2;16;4;50;500000;9462;1472;10;23;0;3364.033052;11931.91667;2000;98.16635;898.4184352;9.22245;84.4038624;11.52;262.301954;119.3166667;106.5;24.43333333;300.0319998;0.011806249;350.2871722;80.421;0;84.7292973
../../data/leiden-1-2;16;8;0;500000;12447;1415;10;23;1;3374.362832;22392.83333;2000;99.5045;910.665184;8.32385;76.1798752;13.97333333;265.7160892;123.3;109.6833333;25.83333333;110.737;0;112.2435081;124.2149999;0;130.8955512
../../data/leiden-1-2;16;8;5;500000;10905;1617;10;23;0;3396.445748;12071.66667;2000;98.16635;898.4184352;10.94435;100.1626912;14.72;274.0339218;120.4833333;105.3166667;24.33333333;300.043;0.024870192;306.6015958;75.06200004;0;82.7249605
../../data/leiden-1-2;16;8;50;500000;10361;1770;10;22;0;3370.465176;11452.75;2000;98.16635;898.4184352;10.0509;91.9858368;9.92;261.9236537;114.6166667;102.3833333;23.3;300.033;0.012560576;350.4938728;0.194000006;0;7.9297662
../../data/leiden-3-4-14;4;4;0;500000;16234;1899;11;23;0;3749.490106;13636.91667;2200;104.4054;955.5182208;10.9518;100.2308736;36.05333333;342.3304779;140.3;125.4166667;24.48333333;158.914;0;163.2779483;75.96300006;0;108.0614053
../../data/leiden-3-4-14;4;4;5;500000;9942;1643;11;23;0;3738.502428;13216.5;2200;105.81765;968.4431328;11.2812;103.2455424;21.97333333;327.7415699;136.0333333;122.7666667;21.88333333;95.39899993;0;102.2568989;107.1190002;0;123.1036598
../../data/leiden-3-4-14;4;4;50;500000;13711;1618;11;22;0;3652.424355;13079.66667;2200;101.5807;929.6665664;10.966;100.360832;8.16;301.6902566;132.1;119.7666667;26.1;134.902;0;181.7826425;86.37400007;0;108.1329699
../../data/leiden-3-4-14;4;8;0;500000;16165;2449;11;22;0;3788.813328;13353.83333;2200;105.84475;968.691152;8.68615;79.4956448;49.38666667;376.708964;136.3166667;122.7333333;24.75;300.108;0.03213815;303.7839332;78.74500012;5.54E-05;482.7675222
../../data/leiden-3-4-14;4;8;5;500000;10752;1713;11;22;0;3680.052419;12847.83333;2200;101.32005;927.2810976;10.9515;100.228128;25.92;314.3516435;131.3666667;117.6166667;22.91666667;92.8440001;0;99.3857532;95.40100002;0;128.328149
../../data/leiden-3-4-14;4;8;50;500000;11230;1823;11;23;0;3658.880424;13136.33333;2200;102.44215;937.5505568;10.5106;96.1930112;8.106666667;304.0774392;130.9166667;118.8333333;25.33333333;106.4759998;0;151.9512412;79.28900003;0;115.4332398
../../data/leiden-3-4-14;8;4;0;500000;27434;3081;11;24;2;3753.582042;33492.66667;2200;103.9989;951.7979328;9.918;90.769536;43.04;354.0576737;136.5333333;122.6833333;26.25;231.21;0;236.6465162;300.0150001;0.000937104;522.0758624
../../data/leiden-3-4-14;8;4;5;500000;15667;2668;11;22;0;3735.870578;13305;2200;105.346;964.126592;10.488;95.986176;27.52;332.4038103;135.5166667;122.45;25.15;152.1000001;0;159.8191743;300.006;0.001702036;342.9001152
../../data/leiden-3-4-14;8;4;50;500000;13016;3030;11;21;0;3645.321858;12793.33333;2200;101.59135;929.7640352;10.7854;98.7079808;6.506666667;297.9664256;129.15;117.2666667;26;116.9819999;0;164.9891378;146.2390001;0;207.6422215
../../data/leiden-3-4-14;8;8;0;500000;30240;2688;11;23;0;3757.54914;13121.75;2200;104.8927;959.9779904;11.38;104.14976;36.96;340.1886894;134.4333333;121.0666667;23.01666667;300.1040001;0.003852838;305.8643393;152.227;0;212.9210296
../../data/leiden-3-4-14;8;8;5;500000;18525;3102;11;21;0;3713.820583;12867;2200;104.11715;952.8801568;10.28255;94.1058976;27.52;324.9148287;134.2;120.9833333;21.86666667;168.2779999;5.00E-11;177.2837781;76.06299996;0;196.4517906
../../data/leiden-3-4-14;8;8;50;500000;15817;2913;11;21;0;3654.72815;12833.41667;2200;102.11265;934.5349728;10.40585;95.2343392;8.8;303.6403379;130.2666667;118.55;25.5;118.967;0;170.1249074;79.83099985;0;159.381107
