#rounds / 20;its;csp value;cost breakdown;unique cols;selected cols;dummy cols;hourly cost dummy cols;mipgap;mip time;total time
10;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.65);221;44;3;292.5;0;75.30900002;76.1110841
10;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.1);232;44;3;292.5;0;75.49300003;76.283009
10;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 69.06666666666666);224;44;3;292.5;0;75.36599994;76.2156739
10;50000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 68.81666666666666);197;44;3;292.5;0;75.14699984;78.3576953
10;50000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 68.1);201;44;3;292.5;0;75.12999988;78.331797
10;50000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 69.1);206;44;3;292.5;0;75.17700005;78.3510047
10;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.95);207;44;3;292.5;0;75.22800016;78.5423067
10;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.38333333333334);204;44;3;292.5;0;75.18799996;78.3904255
10;100000;320566.5833;(0, 0, 0, 0, 0, 0, 244.71666666666667, 169.05, 147.58333333333334, 68.1);200;44;3;292.5;0;75.15399981;81.6079898
10;100000;320598;(0, 0, 0, 0, 0, 0, 245.2, 169.03333333333333, 147.56666666666666, 68.76666666666667);210;44;3;292.5;0;75.74600005;81.6699612
10;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.26666666666667);206;44;3;292.5;0;75.24199986;81.532187
10;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.96666666666667);201;44;3;292.5;0;75.1880002;81.6033525
10;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.83333333333333);199;44;3;292.5;0;75.14899993;81.1164745
10;500000;321563.6667;(0, 0, 0, 0, 0, 0, 255.13333333333333, 175.55, 152.58333333333334, 71.63333333333334);196;47;3;292.5;0;75.06900001;104.9386518
10;500000;320598;(0, 0, 0, 0, 0, 0, 245.2, 169.03333333333333, 147.56666666666666, 68.6);196;44;3;292.5;0;75.15999985;106.555083
10;500000;320667.3333;(0, 0, 0, 0, 0, 0, 246.26666666666668, 169, 147.53333333333333, 70.55);201;44;3;292.5;0;75.20300007;106.8274411
10;500000;320803.8333;(0, 0, 0, 0, 0, 0, 248.36666666666667, 170.83333333333334, 148.93333333333334, 69.83333333333333);197;44;3;292.5;0;75.11300015;106.6578842
10;500000;320836.3333;(0, 0, 0, 0, 0, 0, 248.86666666666667, 170.81666666666666, 148.91666666666666, 70.76666666666667);201;44;3;292.5;0;75.30999994;107.350431
10;1000000;320868.8333;(0, 0, 0, 0, 0, 0, 249.36666666666667, 170.81666666666666, 148.91666666666666, 70.98333333333333);189;44;3;292.5;0;75.0769999;138.7550647
10;1000000;320901.3333;(0, 0, 0, 0, 0, 0, 249.86666666666667, 170.81666666666666, 148.91666666666666, 71.63333333333334);193;44;3;292.5;0;75.0710001;131.6860604
10;1000000;321673.0833;(0, 0, 0, 0, 0, 0, 256.81666666666666, 177.46666666666667, 154.06666666666666, 71.68333333333334);189;47;3;292.5;0;75.07700014;135.2485547
10;1000000;321737;(0, 0, 0, 0, 0, 0, 257.8, 177.36666666666667, 153.96666666666667, 72.6);195;47;3;292.5;0;75.04799986;138.0365298
10;1000000;320836.3333;(0, 0, 0, 0, 0, 0, 248.86666666666667, 170.81666666666666, 148.91666666666666, 70.63333333333334);194;44;3;292.5;0;75.14100003;138.1506087
10;5000000;322920.4167;(0, 0, 0, 0, 0, 0, 271.0833333333333, 186.56666666666666, 161.38333333333333, 76.56666666666666);183;50;3;292.5;7.21E-16;0.036999941;342.0367479
10;5000000;321732.6667;(0, 0, 0, 0, 0, 0, 257.73333333333335, 176.55, 153.46666666666667, 73.28333333333333);194;47;3;292.5;0;75.03299999;398.8172576
10;5000000;322520.6667;(0, 0, 0, 0, 0, 0, 264.93333333333334, 183.35, 158.93333333333334, 73.73333333333333);192;50;3;292.5;1.01E-05;0.021999836;321.1657577
10;5000000;322109.6667;(0, 0, 0, 0, 0, 0, 263.53333333333336, 180.48333333333332, 156.5, 75.78333333333333);187;47;3;292.5;4.18E-05;75.05900002;413.2829288
10;5000000;322523.9167;(0, 0, 0, 0, 0, 0, 264.98333333333335, 182.3, 158.08333333333334, 73.98333333333333);194;50;3;292.5;8.06E-05;0.019999981;341.5432746
25;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.25);250;44;3;292.5;0;75.72599983;77.8289147
25;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.11666666666666);247;44;3;292.5;0;75.68999982;77.7894506
25;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.38333333333334);248;44;3;292.5;0;75.65199995;77.7344913
25;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.66666666666667);249;44;3;292.5;0;75.66199994;77.7611136
25;10000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.5);240;44;3;292.5;0;75.46700001;77.5324429
25;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 67.95);218;44;3;292.5;0;75.38999987;84.0863795
25;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.93333333333334);228;44;3;292.5;0;75.32099986;83.7905715
25;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.51666666666667);217;44;3;292.5;0;75.32400012;83.7447606
25;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.66666666666667);218;44;3;292.5;0;75.3670001;83.7792355
25;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.55);214;44;3;292.5;0;75.27900004;83.7764189
