max vh;value;cols;mipgap;runtime
8;3372.651134933333;14093;0.28644030166949797;600.3670001029968
9;3372.651134933333;14093;0.39241261971735486;600.1019999980927
10;3363.434364711111;14830;0.6302612586236206;600.1130001544952
11;3164.851551733333;20409;0.03893576550069947;600.1400001049042
12;3317.815826488889;17499;0.08436864625552991;600.1259999275208
13;3361.7738381777776;16836;0.09167955499836275;600.154000043869
14;3169.604338;18479;0.04117380432142234;600.1329998970032
15;3342.8273799111107;19593;0.08573959186554417;600.1579999923706
