instance;sec n;sec m;ls rounds;ls maxIts;seq vsp value;seq csp value;seq vsp cols;seq csp cols;seq vsp selected cols;seq csp selected cols;seq csp selected single;vsp mipgap;vsp mip runtime;vsp total runtime;csp mipgap;csp mip runtime;csp total runtime
../../data/terschelling;4;4;0;500000;1826.2738890574299;3917.833333333334;2438;322;6;10;0;0;75.45005702972412;76.2693768;0;75.14773201942444;75.4024652
../../data/terschelling;4;4;5;500000;1796.563709440732;3841.5000000000005;1761;455;6;10;0;0;0.3772251605987549;10.6009713;0;75.03131914138794;75.2802682
../../data/terschelling;4;4;50;500000;1795.6123187108324;3795.4166666666656;2680;520;6;10;0;0;76.42222094535828;170.995484;0;75.55750799179077;75.7984751
../../data/terschelling;4;8;0;500000;1830.8016155296502;3961.1666666666665;2607;526;6;10;0;0;77.156653881073;77.6424892;0;75.01942205429077;75.3741852
../../data/terschelling;4;8;5;500000;1804.0784151837183;3986.083333333333;1478;434;6;10;0;8.88452968578877E-05;0.3418459892272949;10.1550718;0;75.16117191314697;75.362266
../../data/terschelling;4;8;50;500000;1791.0694773366597;3804.6666666666665;2885;366;6;10;0;9.514738142427231E-05;75.15603804588318;170.2054584;0;75.09312200546265;75.2855666
../../data/terschelling;8;4;0;500000;1809.9285028852485;3947.083333333333;4217;399;6;10;0;0;75.19978880882263;75.8773999;0;75.0523738861084;75.2454178
../../data/terschelling;8;4;5;500000;1810.1934779643834;3954.166666666666;2614;468;6;10;0;0;76.87854409217834;86.8296142;0;75.05408787727356;75.2920321
../../data/terschelling;8;4;50;500000;1790.8550546863362;3797.083333333334;3519;382;6;10;0;9.608931368547581E-05;0.9249927997589111;96.1294884;0;75.11454391479492;75.2876019
../../data/terschelling;8;8;0;500000;1801.1718512853072;3837.9166666666665;5199;664;6;9;0;0;1.0114572048187256;1.7405168;0;75.18252205848694;75.6266422
../../data/terschelling;8;8;5;500000;1796.9569921306586;3841.5;3555;523;6;10;0;9.526514997758218E-05;75.48545503616333;85.7763878;0;75.06802105903625;75.4336315
../../data/terschelling;8;8;50;500000;1796.048452123261;3818.166666666667;3455;819;6;10;0;0;76.68686819076538;172.5112239;0;75.20419096946716;75.7512043
